Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-May-24,EQ,"1,940.00","1,969.90","1,883.10","1,921.30","1,920.00","1,901.90","1,935.06","2,157.90","1,665.00","2,96,727","57,41,85,459.60","26,123"
22-May-24,EQ,"1,810.00","1,936.60","1,802.70","1,807.60","1,934.20","1,921.30","1,904.04","2,218.00","1,665.00","9,00,477","1,71,45,43,703.05","59,413"
21-May-24,EQ,"1,833.50","1,837.35","1,804.00","1,833.05","1,805.05","1,807.60","1,814.70","2,218.00","1,665.00","1,10,134","19,98,60,384.10","12,259"
18-May-24,EQ,"1,833.05","1,841.70","1,826.00","1,833.45","1,837.00","1,833.05","1,833.08","2,230.00","1,665.00","23,655","4,33,61,526.85","2,387"
17-May-24,EQ,"1,848.60","1,854.95","1,824.00","1,839.70","1,832.50","1,833.45","1,838.27","2,250.70","1,665.00","67,057","12,32,69,132.00","8,237"
16-May-24,EQ,"1,852.10","1,864.95","1,828.00","1,832.25","1,836.00","1,839.70","1,843.67","2,318.80","1,665.00","83,989","15,48,48,387.55","10,200"
15-May-24,EQ,"1,824.85","1,855.00","1,820.00","1,814.90","1,826.00","1,832.25","1,838.17","2,318.80","1,665.00","89,216","16,39,94,035.95","11,589"
14-May-24,EQ,"1,816.70","1,833.90","1,798.25","1,814.10","1,815.00","1,814.90","1,814.79","2,318.80","1,665.00","98,640","17,90,10,444.35","12,733"
13-May-24,EQ,"1,895.00","1,895.00","1,801.05","1,876.35","1,815.00","1,814.10","1,825.95","2,319.20","1,665.00","1,16,813","21,32,94,671.80","14,664"
10-May-24,EQ,"1,815.00","1,893.85","1,761.10","1,802.60","1,876.20","1,876.35","1,836.25","2,414.25","1,665.00","1,56,199","28,68,20,608.20","22,555"
09-May-24,EQ,"1,895.00","1,895.00","1,790.00","1,874.60","1,804.00","1,802.60","1,836.90","2,414.25","1,665.00","1,16,233","21,35,08,941.65","15,592"
08-May-24,EQ,"1,850.10","1,911.00","1,810.00","1,846.70","1,875.00","1,874.60","1,862.51","2,428.35","1,665.00","1,24,779","23,24,02,533.40","16,789"
07-May-24,EQ,"1,935.00","1,935.00","1,839.00","1,920.15","1,841.00","1,846.70","1,868.10","2,428.35","1,665.00","1,33,434","24,92,68,362.10","18,202"
06-May-24,EQ,"1,975.00","1,984.00","1,890.85","1,967.65","1,907.65","1,920.15","1,923.60","2,428.35","1,665.00","1,64,795","31,70,00,068.00","20,012"
03-May-24,EQ,"2,050.00","2,050.00","1,923.45","1,959.80","1,958.00","1,967.65","1,981.70","2,428.35","1,665.00","6,48,318","1,28,47,72,173.15","47,625"
02-May-24,EQ,"1,924.70","1,990.00","1,901.35","1,904.50","1,955.00","1,959.80","1,961.38","2,428.35","1,665.00","4,61,470","90,51,19,304.15","34,850"
30-Apr-24,EQ,"1,926.40","1,945.00","1,895.00","1,907.50","1,900.10","1,904.50","1,925.02","2,428.35","1,665.00","2,88,794","55,59,34,529.75","23,965"
29-Apr-24,EQ,"1,850.00","1,920.00","1,819.40","1,780.85","1,910.00","1,907.50","1,879.02","2,428.35","1,665.00","5,89,627","1,10,79,21,028.80","40,903"
26-Apr-24,EQ,"1,821.40","1,821.60","1,775.00","1,821.40","1,783.00","1,780.85","1,787.32","2,428.35","1,665.00","1,03,082","18,42,40,939.35","11,081"
